IdPartidoRed,IdPartido,IdRedSocial,Tiene,MotivoNoTiene,Usuario,Seguidores,Likes
1,1,1,True,,ahoranacion_oficial,27.1,266.0
2,2,1,False,Varios (no oficial),,,
3,3,1,True,,peru_app,1.35,12.7
4,4,1,False,No tiene según página web,,,
5,5,1,False,Varios (no oficial),,,
6,6,1,True,,fuerzapopular_,28.2,271.9
7,7,1,True,,fuerzaylibertadperu,1.2,12.6
8,8,1,True,,juntosporelperu,3.47,47.3
9,9,1,True,,libertadpopularpe,2.45,26.6
10,10,1,False,No tiene según página web,,,
11,11,1,True,,partidocivicoobras,6.37,83.8
12,12,1,False,No tiene según página web,,,
13,13,1,True,,buengobiernope,8.47,84.0
14,14,1,True,,pdunidoperuoficial,1.71,13.5
15,15,1,True,,partidoverdeperu,23.3,380.6
16,16,1,False,No tiene según página web,,,
17,17,1,True,,somosperuoficial,2.55,19.4
18,18,1,False,No tiene según página web,,,
19,19,1,True,,partidomorado,5.9,74.2
20,20,1,True,,partidopaisparatodos,254.5,3100.0
21,21,1,False,Varios (no oficial),,,
22,22,1,False,No tiene según página web,,,
23,23,1,False,No tiene según página web,,,
24,24,1,False,No tiene según página web,,,
25,25,1,True,,peruaccionoficial,1077.0,14.7
26,26,1,True,,peruprimero_oficial,165.5,2400.0
27,27,1,True,,partido.politico.oficial,1288.0,7415.0
28,28,1,True,,sicreooficial,0.52,0.11
29,29,1,True,,perumodernooficial,1.08,3.09
30,30,1,True,,podemosperuoficial,45.7,523.4
31,31,1,False,No tiene según página web,,,
32,32,1,True,,progresemosoficial,12.2,48.6
33,33,1,False,Varios (no oficial),,,
34,34,1,True,,uncaminodiferente.oficial,8.96,86.3
35,35,1,True,,chiabrapresidente2026,1.34,10.2
36,36,1,True,,renovacionpopularoficial,33.3,399.7
